"1,1",1.2,2.1,2.2,2.3,2.4,2.5,3.1,"3,2","3,3",3.4,3.5,4.1,4.2,4.3,4.4,4.5,4.6,5.1,5.2,5.3,6.1,6.2,6.3,6.4,6.5,7.1
Article_ID,Authors,Date_Coded,Coded_by,Inclusion,IfExcluded_Criteria,IfExcluded_Comment,Study_design,Ecoregion,"Spatial_Scale ",Continent_Ocean,Country,Threat_metric,Threat_data,Threat,Quantity_threats,Threat_precision,Threat_database,Plant_group,Animal_group,Ecological_level,Direct_driver,Indirect_driver,Georef_ind_driver,Ind_driver_text_source,Spatial_scale_text_source,Biodiversity_impacts
93,Abram_etal,16/08/2024,FG,1,,,Observational,Terrestrial,Local,asia,Indonesia,expert,Quantitative,6.3:Other,1,level2,na,na,mammal,population,land/sea_use_change,economic;society_and_culture;governance_and_institutions,1,"Higher rates of killings in the region may be linked to religious and/or cultural practices of hunting orangutan for food. Previous studies in Borneo have found that more orangutans are killed for food than for any other reasons (such as conflict, pet trade, fear or selfdefence) and that Christian respondents are more likely to kill orangutans for food than non-Christians (e.g. Davis et al., 2013).; Several studies have","Higher rates of killings in the region may be linked to religious and/or cultural practices of hunting orangutan for food. Previous studies in Borneo have found that more orangutans are killed for food than for any other reasons (such as conflict, pet trade, fear or selfdefence) and that Christian respondents are more likely to kill orangutans for food than non-Christians (e.g. Davis et al., 2013).; Several studies have",decrease
108,Birkmanis_etal,16/08/2024,FG,1,,,Observational,Marine,National,"indian ocean",Australia,database,Quantitative,5.1:UseAnimals,1,level2,"AustalianBureauofAgricultural and ResourceEconomicsandSciences_ABARES",na,fish,population,direct_exploitation,governance_and_institutions,1,"Using Australia as a case study, we found that most Australian continental MPAs primarily include habitat of low suitability for these pelagic sharks, and that available highly suitable habitat is relatively unprotected, being located in areas where fishing is allowed. Our results highlight that Australian MPAs are unlikely to contribute significantly to pelagic shark conservation and, importantly, that species globally classified as ‘Endangered’ or ‘Vulnerable to extinction’ by the IUCN (see Table S1) are exposed to commercial and recreational fishing, both within and outside Australian MPAs.","Using Australia as a case study, we found that most Australian continental MPAs primarily include habitat of low suitability for these pelagic sharks, and that available highly suitable habitat is relatively unprotected, being located in areas where fishing is allowed. Our results highlight that Australian MPAs are unlikely to contribute significantly to pelagic shark conservation and, importantly, that species globally classified as ‘Endangered’ or ‘Vulnerable to extinction’ by the IUCN (see Table S1) are exposed to commercial and recreational fishing, both within and outside Australian MPAs.",decrease
61,Chu_etal,16/08/2024,FG,1,,,Observational,Freshwater,National,"north america",Canada,database,Quantitative,2.1:AgNTC;2.2:AgWood;9.1:PollDWW;9.4:PollGarbSW;3.1:OilGas;4.1:RoadRail,6,cumulative,AgricultureAndAgri-FoodCanada_1997,na,fish,biome,land/sea_use_change;pollution,economic;demographic,1,"Our study identified dwelling, road density, crop farming, and forestry as the dominant stresses in the southern watersheds of Can_x0002_ada, which suggests that biodiversity in these watersheds is threatened","Our study identified dwelling, road density, crop farming, and forestry as the dominant stresses in the southern watersheds of Can_x0002_ada, which suggests that biodiversity in these watersheds is threatened",na
90,"Desta and Fetene",16/08/2024,FG,1,,,Observational,Freshwater;Terrestrial,Local,africa,Ethiopia,rs,Qualitative,1.1:DevResid;2.1:AgNTC;2.2:AgWood;2.3:AgLivestock,4,level2,na,forest,na,ecosystem,land/sea_use_change,economic;demographic;governance_and_institutions,1;na,"Ethiopia’s Lake Ziway watershed supports the livelihoods of many people, but is under threat by multifaceted factors, the causes of which are mainly associated with livelihood activities and investment projects such as floriculture industries and irrigation agriculture. These livelihood and investment activities are degrading the lake and its environs. Degradation of natural vegetation and the subsequent siltation in Lake Ziway are occurring due to human-induced LULC changes in the watershed (Desta, 2016).; Coulomb et al. (2001) affirmed that changes in LULC in this watershed began in the early 1970s. Cultivation and settlement areas have consistently increased from 1973 to 2018 while woodlands decreased. The major patterns of change reveal that the expansion of cultivated land areas was at the expense of other land use types, particularly woodlands at the Rift floor. This could be due to the increased land demand for cultivation and the increased human population in the watershed. Like cultivated land areas, an increase in agroforestry LULC category occurred in the study period. The major reason for this expansion was the increasing demand for mixed cultivation of crops and commercial wood lots along with the increasing human population.; This indicates that human impacts are the reason for such LULC changes. According to local elders, this change could be due to the absence of enforcement and control towards protection on local communities.","Ethiopia’s Lake Ziway watershed supports the livelihoods of many people, but is under threat by multifaceted factors, the causes of which are mainly associated with livelihood activities and investment projects such as floriculture industries and irrigation agriculture. These livelihood and investment activities are degrading the lake and its environs. Degradation of natural vegetation and the subsequent siltation in Lake Ziway are occurring due to human-induced LULC changes in the watershed (Desta, 2016).; Coulomb et al. (2001) affirmed that changes in LULC in this watershed began in the early 1970s. Cultivation and settlement areas have consistently increased from 1973 to 2018 while woodlands decreased. The major patterns of change reveal that the expansion of cultivated land areas was at the expense of other land use types, particularly woodlands at the Rift floor. This could be due to the increased land demand for cultivation and the increased human population in the watershed. Like cultivated land areas, an increase in agroforestry LULC category occurred in the study period. The major reason for this expansion was the increasing demand for mixed cultivation of crops and commercial wood lots along with the increasing human population.; This indicates that human impacts are the reason for such LULC changes. According to local elders, this change could be due to the absence of enforcement and control towards protection on local communities.",decrease
112,"Di Fulvio_etal",25/07/2024,FG,1,,,Observational,Terrestrial,Continental,europe,na,modelled,Quantitative,2.1:AgNTC;3.3:Renew,1,level2,na,tracheophyta,mammal;amphibia;bird;reptile,biome,land/sea_use_change,economic,0,"Our results show that policies promoting bioenergy in the EU may contribute to a further global decline of biodiversity. While a strong expansion of perennial crops for bioenergy production could be an interesting option for climate change mitigation, it could have negative impacts on biodiversity through loss of species habitats. Further, our results indicate that through international trade, an increase in bioenergy demand may result in a considerable leakage of biodiversity damage to species-rich and vulnerable regions outside the EU","Our results show that policies promoting bioenergy in the EU may contribute to a further global decline of biodiversity. While a strong ex_x0002_pansion of perennial crops for bioenergy production could be an inter_x0002_esting option for climate change mitigation, it could have negative impacts on biodiversity through loss of species habitats. Further, our re_x0002_sults indicate that through international trade, an increase in bioenergy demand may result in a considerable leakage of biodiversity damage to species-rich and vulnerable regions outside the EU",na
41,Enrichetti_etal,16/08/2024,FG,1,,,Observational,Marine,National,mediterranean,Italy,modelled;survey,Quantitative,4.3:ShipLane;5.4:UseAquatic;9.7:PollUnspec,3,cumulative,na,na,fish,biome,land/sea_use_change;direct_exploitation;pollution,economic;demographic;society_and_culture,1,"In order to evaluate how the three indices (Is , Ii , and MACS) respond to different levels of human pressures, three main anthropogenic pressures were quantified within a radius of 25 km from the centroid of each site. i) The number of inhabitants of the coastal municipalities, obtained from the online database of the Italian national STATistical institute – ISTAT (http://dati.istat.it), is expected to influence the levels of siltation, pollutants and marine litter in the nearby areas. Dredging activities, beaches nourishment and human use of coast and rivers, as occurs along the Italian coasts, could significantly enhance turbidity levels in the water. ii) The number of berths for each port, found on the on-line pilot’s book for the Mediterranean Sea (https://www. tuttobarche.it/), represents an indirect indicator of the shipping traffic in the area, including recreational fishermen, and may represent a proxy for distribution and amount of marine litter on the seabed. Finally, iii) the number of fishing boats listed in each harbour, obtained from the EU Fleet register (http://ec.europa.eu/fisheries/fleet), provides information on the professional fishing pressure.","In order to evaluate how the three indices (Is , Ii , and MACS) respond to different levels of human pressures, three main anthropogenic pressures were quantified within a radius of 25 km from the centroid of each site. i) The number of inhabitants of the coastal municipalities, obtained from the online database of the Italian national STATistical institute – ISTAT (http://dati.istat.it), is expected to influence the levels of siltation, pollutants and marine litter in the nearby areas. Dredging activities, beaches nourishment and human use of coast and rivers, as occurs along the Italian coasts, could significantly enhance turbidity levels in the water. ii) The number of berths for each port, found on the on-line pilot’s book for the Mediterranean Sea (https://www. tuttobarche.it/), represents an indirect indicator of the shipping traffic in the area, including recreational fishermen, and may represent a proxy for distribution and amount of marine litter on the seabed. Finally, iii) the number of fishing boats listed in each harbour, obtained from the EU Fleet register (http://ec.europa.eu/fisheries/fleet), provides information on the professional fishing pressure.",na
94,Hoang_etal,2024/09/05,FG,1,,,Observational,Terrestrial,Global,na,na,database,Quantitative,2.1:AgNTC,1,level2,GBIF;EORA,tracheophyta,mammal;amphibia;bird;reptile,biosphere,land/sea_use_change,economic,0,"The findings from this study indicate that consumption of certain key products, such as coffee, cocoa, and palm oil, by a subset of countries drives land use in very high-CP areas. This corroborates prior research which also identified these crops as key biodiversity threats (45). In this study, we also identify lower conservation risk products, countries, and regions which avoid such risk hotspots, which suggests that judicious import and export policies for food, fiber, and food goods can be one factor to help minimize species threats.","The findings from this study indicate that consumption of certain key products, such as coffee, cocoa, and palm oil, by a subset of countries drives land use in very high-CP areas. This corroborates prior research which also identified these crops as key biodiversity threats (45). In this study, we also identify lower conservation risk products, countries, and regions which avoid such risk hotspots, which suggests that judicious import and export policies for food, fiber, and food goods can be one factor to help minimize species threats.",na
62,Kamino_etal,16/08/2024,FG,1,,,Observational,Freshwater,Sub-national,"south america",Brazil,database,Qualitative,9.2:PollIndMil,1,level2,"ANM; FEAM",other,other,ecosystem,pollution,governance_and_institutions,1,"The dams accumulate extraordinary environmental costs and liability represented by approximately 2.24 thousand million m3 of tailings and industrial waste. However, the agencies in charge of the PAs have not developed adequate policies to establish management mechanisms and integrated monitoring to address a scenario of high socioenvironmental potential damage associated with tailings dams. […] For the SPAs, no open access information that recognizes the conflicting use, monitoring of water risks associated with the accumulation of tailings, and preventive management of water sources located downstream from the dams was obtained. […] In only two management plans, information, albeit basic, about tailings dams and some associated risks, conflicting use with the PA, and some guidelines regarding the need to intensify inspection and monitoring of the impacts generated by the mining activity was provided to managers.","The dams accumulate extraordinary environmental costs and liability represented by approximately 2.24 thousand million m3 of tailings and industrial waste. However, the agencies in charge of the PAs have not developed adequate policies to establish management mechanisms and integrated monitoring to address a scenario of high socioenvironmental potential damage associated with tailings dams. […] For the SPAs, no open access information that recognizes the conflicting use, monitoring of water risks associated with the accumulation of tailings, and preventive management of water sources located downstream from the dams was obtained. […] In only two management plans, information, albeit basic, about tailings dams and some associated risks, conflicting use with the PA, and some guidelines regarding the need to intensify inspection and monitoring of the impacts generated by the mining activity was provided to managers.",decrease
65,Micheli_etal,26/07/24,FG,1,,,Observational,Marine,Multi-national,mediterranean,"Bosnia and Herzegovina; France; Italy; Greece; Croatia; Macedonia; Monaco;Montenegro; Spain;Slovenia;San Marino;Albania;Malta;Cyprus;Turkey;Morocco;Algeria;Tunisia;Libya;Egypt;Israel;Syria;Lebanon;Georgia;Turkey;Bulgaria;Ukraine;Romania;Russia",modelled,Quantitative,1.1:DevResid;1.2:DevComInd;3.1:OilGas;4.3:ShipLane;5.4:UseAquatic;8.1:SDAlienInv;9.3:PollAgrFor;9.2:PollIndMil;9.5:PollAir;11.1:CC_Habitat;9.1:PollDWW;9.6:PollEnergy,12,cumulative,na,na,na,biome,land/sea_use_change;direct_exploitation;invasive_and_alien_species;pollution;climate_change,economic;demographic,1;0,"Drivers associated with climate change (SST and UV increase, and acidification), demersal fishing, and shipping result in the greatest average impact on Mediterranean and Black Sea ecosystems (Fig. 3a). These drivers, along with coastal hypoxia, were found to exert the greatest impact within territorial waters of the EU nations (Fig. 3b), followed by coastal population density, invasive species, land-based pollution (inorganic pollution, pesti[1]cide and fertilizer runoff) and modification of the coastline (through coastal erosion and engineering). The lowest estimated impacts, both within EU waters and for the whole basin, are associated with oil spills and rigs (Fig. 3). […] All ecoregions are affected by multiple drivers, but the relative importance of different drivers varies among ecoregions (Fig. 5). Climatic drivers have the greatest contribution to the average cumulative impact score of all ecoregions, though this contribution is lower for the Alboran and Adriatic Seas (Fig. 5a). When climatic drivers are not included (Fig. 5b), demersal fishing, hypoxia and pollution from land-based activities are major contributors to high cumulative impacts to the Adriatic and Black Sea, and demersal fishing and shipping are major contributors in the other ecoregions.","Drivers associated with climate change (SST and UV increase, and acidification), demersal fishing, and shipping result in the greatest average impact on Mediterranean and Black Sea ecosystems (Fig. 3a). These drivers, along with coastal hypoxia, were found to exert the greatest impact within territorial waters of the EU nations (Fig. 3b), followed by coastal population density, invasive species, land-based pollution (inorganic pollution, pesti[1]cide and fertilizer runoff) and modification of the coastline (through coastal erosion and engineering). The lowest estimated impacts, both within EU waters and for the whole basin, are associated with oil spills and rigs (Fig. 3). […] All ecoregions are affected by multiple drivers, but the relative importance of different drivers varies among ecoregions (Fig. 5). Climatic drivers have the greatest contribution to the average cumulative impact score of all ecoregions, though this contribution is lower for the Alboran and Adriatic Seas (Fig. 5a). When climatic drivers are not included (Fig. 5b), demersal fishing, hypoxia and pollution from land-based activities are major contributors to high cumulative impacts to the Adriatic and Black Sea, and demersal fishing and shipping are major contributors in the other ecoregions.",na
84,"Moran and Kanemoto",23/07/2024,FG,1,,,Observational,Freshwater;Marine;Terrestrial,Global,na,na,database,Quantitative,1.1:DevResid;1.2:DevComInd;2.2:AgWood;2.5:AgUnspec;4.1:RoadRail;9.7:PollUnspec,6,cumulative,IUCN;EORA,na,animal,biosphere,land/sea_use_change;pollution,economic,1,"Using a threat hotspot map built using composited extent-of-occurrence maps from IUCN and BirdLife International (also called distribution maps showing range boundaries), we applied the biodiversity footprint method of Lenzen et al., attributing each anthropogenic species threat to one or more culpable industries then traced the implicated commodities from 15,000 production industries worldwide to final consumers in 187 countries using a global trade model. The result is an account linking production and consumption of economic sectors to spatially explicit species threat hotspots. The account only considers threats which can be attributed to industries and thus excludes threats such as change in population structure, disease, natural catastrophes, etc. (discussed further below). […] Species come under threat from a variety of causes, many of which are anthropogenic and linked to industries producing goods for consumption domestically and abroad.","Using a threat hotspot map built using composited extent-of-occurrence maps from IUCN and BirdLife International (also called distribution maps showing range boundaries), we applied the biodiversity footprint method of Lenzen et al., attributing each anthropogenic species threat to one or more culpable industries then traced the implicated commodities from 15,000 production industries worldwide to final consumers in 187 countries using a global trade model. The result is an account linking production and consumption of economic sectors to spatially explicit species threat hotspots. The account only considers threats which can be attributed to industries and thus excludes threats such as change in population structure, disease, natural catastrophes, etc.",decrease
101,SchulteToBuehne_etal,24/07/2024,FG,1,,,Observational,Terrestrial,Multi-national,africa,"Benin;Burkina Faso;Niger",rs,Qualitative,2.1:AgNTC,1,level2,na,na,na,biome,land/sea_use_change,economic;demographic;governance_and_institutions,1;0,"The coalition of protected areas has been successful at protecting natural vegetation from agricultural expansion, and this result echoes previ[1]ous observations in other West and Central African pro[1]tected areas (Struhsaker et al. 2005) as well as global protected area assessment reports (DeFries et al. 2005; Gaston et al. 2008). […] For instance, in the South of Burkina Faso, increases in per capita cropland in Eastern Burkina Faso have been reported between 2001 and 2014 (Knauer et al. 2017). More often, cropland expansion has been linked to population growth driven by within-country migration (Ouedraogo et al. 2009; Par[1]e et al. 2014). […] It is conceivable that faster cropland expansion after 2006 occurred partly as a response to increased food insecurity after the food price crisis in 2007/08 (Mertens and Lambin 2000), in the context of quickly increasing populations (UN-ESA, Population Division 2015).","The coalition of protected areas has been successful at protecting natural vegetation from agricultural expansion, and this result echoes previ[1]ous observations in other West and Central African pro[1]tected areas (Struhsaker et al. 2005) as well as global protected area assessment reports (DeFries et al. 2005; Gaston et al. 2008). […] For instance, in the South of Burkina Faso, increases in per capita cropland in Eastern Burkina Faso have been reported between 2001 and 2014 (Knauer et al. 2017). More often, cropland expansion has been linked to population growth driven by within-country migration (Ouedraogo et al. 2009; Par[1]e et al. 2014). […] It is conceivable that faster cropland expansion after 2006 occurred partly as a response to increased food insecurity after the food price crisis in 2007/08 (Mertens and Lambin 2000), in the context of quickly increasing populations (UN-ESA, Population Division 2015).",na;neutral
10,Selkoe_etal,26/07/24,FG,1,,,Observational,Marine,Sub-national,"north pacific",Hawaii,database,Quantitative,8.1:SDAlienInv;5.4:UseAquatic;9.6:PollEnergy;9.4:PollGarbSW;6.3:Other;11.1:CC_Habitat;11.3:CC_Temp;9.5:PollAir;4.3:ShipLane;9.2:PollIndMil,10,cumulative,Various,na,invertebrates,ecosystem,land/sea_use_change;direct_exploitation;invasive_and_alien_species;pollution;climate_change,economic;technology,1,"The worst impacts are those related to climate change, resulting primarily from human activities elsewhere.; Shipping includes associated risks of alien species introductions, grounding, pollution, anchor damage, faunal strikes, and illegal fishing; […].","The worst impacts are those related to climate change, resulting primarily from human activities elsewhere.; Shipping includes associated risks of alien species introductions, grounding, pollution, anchor damage, faunal strikes, and illegal fishing; […].",decrease
74,Sun_etal,2024/09/05,FG,1,,,Observational,Terrestrial,Global,na,na,database,Quantitative,1.4:DevUnspec;2.5:AgUnspec;3.4:EnergUnspec;4.5:UnspecLine;5.5:UseUnspec,5,cumulative,FABIO;EXIOBASE,tracheophyta,mammal;amphibia;bird;reptile,biosphere,land/sea_use_change;direct_exploitation,economic;governance_and_institutions,0,"We estimate that a quarter of global plant losses and a third of global vertebrate losses are embodied in international trade. In the international market, high-income nations can outsource land use and the associated biodiversity loss to other middle- and low-income nations that may have lower regulatory standards. and higher biodiversity (Marques et al., 2019; Vijay et al., 2021). These differences partly drive leakage in biodiversity loss through international trade (analogous to carbon leakage).","We estimate that a quarter of global plant losses and a third of global vertebrate losses are embodied in international trade. In the international market, high-income nations can outsource land use and the associated biodiversity loss to other middle- and low-income nations that may have lower regulatory standards. and higher biodiversity (Marques et al., 2019; Vijay et al., 2021). These differences partly drive leakage in biodiversity loss through international trade (analogous to carbon leakage).",decrease
60,Symes_etal,24/07/2024,FG,1,,,Observational,Terrestrial,Sub-national,asia,Indonesia,modelled,Qualitative,5.1:UseAnimals,1,level2,na,na,bird,biome,direct_exploitation,economic;society_and_culture,0,"Several factors suggest the impacts of exploitation will continue, including within PAs. First, as popular species become rarer their commercial value will likely increase, accelerating exploitation efforts and declines, potentially resulting in an anthropogenic Allee effect. Further, as rare species drop out of the market, replacements are often substituted into the market [e.g., the recent emergence of Greater Green Leafbird […]. Second, unpredictable responses to cultural phenomena can result in previously unexploited species becoming the target of trappers: in Indonesia, the recent popularity of owls is dubbed the ‘Harry Potter effect’. Third, on-going fragmentation via deforestation and road development into contiguous forest (especially in Borneo) will make forest interiors increasingly accessible to trappers, further reducing the number of isolated refugia for commercially valuable species.","Several factors suggest the impacts of exploitation will continue, including within PAs. First, as popular species become rarer their commercial value will likely increase, accelerating exploitation efforts and declines, potentially resulting in an anthropogenic Allee effect. Further, as rare species drop out of the market, replacements are often substituted into the market [e.g., the recent emergence of Greater Green Leafbird […]. Second, unpredictable responses to cultural phenomena can result in previously unexploited species becoming the target of trappers: in Indonesia, the recent popularity of owls is dubbed the ‘Harry Potter effect’. Third, on-going fragmentation via deforestation and road development into contiguous forest (especially in Borneo) will make forest interiors increasingly accessible to trappers, further reducing the number of isolated refugia for commercially valuable species.",decrease
82,Weinzettel_etal,25/07/2024,FG,1,,,Experimental,Freshwater;Marine;Terrestrial,Global,na,na,database;modelled,Quantitative,2.1:AgNTC,1,level2,na,na,na,biosphere,land/sea_use_change,economic,1;0,"Although most NPPpot appropriation in biodiversity hotspots is driven by domes consumption, we found that 20% of NPPpot appropriation was driven by consumption abroad (ie by international trade).","Although most NPPpot appropriation in biodiversity hotspots is driven by domes consumption, we found that 20% of NPPpot appropriation was driven by consumption abroad (ie by international trade).",na
