Extended Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1 Study Design ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Observational,,,Variables are not actively manipulated ,,,,,,,,,,,,,,,,,,,,,,,,
,Experimental,,,For the sake of this analysis all research which manipulates variables regardless of tightly controlled conditions will be classed as experimental (e.g. exclusion experiments in a natural setting),,,,,,,,,,,,,,,,,,,,,,,,
,S_Review,,,Systematic review (including meta-analyses). Novel syntheses of data gathered from existing literature.,,,,,,,,,,,,,,,,,,,,,,,,
3.3 Spatial Scale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,,,The study extent is the whole world ,,,,,,,,,,,,,,,,,,,,,,,,
,Continental,,,Study extent covers over 3/4 of a continent or an ocean. This excludes studies of individual countries that encompass > ľ of the area of the continent (e.g. Australia).,,,,,,,,,,,,,,,,,,,,,,,,
,Multi-national,,,"Study extent is defined by the boundary of more than one country, or sites across multiple countries (>10,000km2)",,,,,,,,,,,,,,,,,,,,,,,,
,National,,,Study extent is defined by the boundary of one country,,,,,,,,,,,,,,,,,,,,,,,,
,Sub-national,,,"Study extent is larger than 10,000km2 within a single country",,,,,,,,,,,,,,,,,,,,,,,,
,Local,,,"Study extent is less than 10,000km2",,,,,,,,,,,,,,,,,,,,,,,,
3.4 Spatial Resolution Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The spatial unit used to display the threat map ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5 Spatial Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The size of single units that were mapped within the study, rather than the resolution in which data was gathered ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1 Threat Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCM,,,Pre-calculated metric (e.g. Human Footprint Index if accessed as an already computed index),,,,,,,,,,,,,,,,,,,,,,,,
,Database,,,"Existing dataset of human activities or threats to species (e.g. FAO, IUCN, fishing logbook data, repositories of citizen science collected data)",,,,,,,,,,,,,,,,,,,,,,,,
,RS,,,"Remotely sensed primary data (Satellite data, aerial surveys, GPS trackers, Remote vessel monitoring systems (VMS). *The use of ground-level camera traps should be classed under ‘survey’)",,,,,,,,,,,,,,,,,,,,,,,,
,Literature,,,"Data on threat distribution gathered from existing literature (E.g. Mapping locations of studies that observe threats in a systematic review, using findings from existing peer-reviewed literature or other paper-based sources or archives)
E.g. Scraping data from previous published peer-reviewed literature 
E.g. Scraping data from news reports, paper-based archives or other non-published literature sources
)",,,,,,,,,,,,,,,,,,,,,,,,
,Survey,,,"Primary collection of data via ground level survey methods to identify presence/absence or intensity of threat (e.g. line transects, camera traps, point counts)",,,,,,,,,,,,,,,,,,,,,,,,
,Modelled,,,Predicted distributions of a current threat based on occurance or susceptibility data (e.g. invasive species or climate change risk),,,,,,,,,,,,,,,,,,,,,,,,
,Expert Judgement ,,,"The spatial distribution of threats to species is determined by primary expert elicitation methods (e.g. Interviews, participatory mapping processes, questionnaires)",,,,,,,,,,,,,,,,,,,,,,,,
,Other ,,,"Any other metric used to determine the spatial distribution of threat to species (e.g. Web scraping Social Media, and data gathered from museum specimens)",,,,,,,,,,,,,,,,,,,,,,,,
4.6 threat_precision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cumulative,,,Individual threats are all mapped together as a single index ,,,,,,,,,,,,,,,,,,,,,,,,
,Level 1,,,"Threats are presented individually at the most coarse level of the threat classifcation framework (e.g. Agriculture/Aquaculture, Development, Biological resource use)",,,,,,,,,,,,,,,,,,,,,,,,
,Level 2,,,"Threats are presented individually at a precision greater than level 2 in the threat classifcation framework or finer (e.g. Residential development, livestock farming, hunting)",,,,,,,,,,,,,,,,,,,,,,,,
5.1 Population Metric ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Literature,,,Secondary data on species distribution gathered from existing literature ,,,,,,,,,,,,,,,,,,,,,,,,
,Database,,,"Existing dataset of species distributions (e.g. IUCN, or iNaturalist)",,,,,,,,,,,,,,,,,,,,,,,,
,Modelled,,,"Predicted distribution of species based on occurance data (e.g. EEO, and habitat suitability modelling)",,,,,,,,,,,,,,,,,,,,,,,,
,Survey,,,"Primary data collected on the presence/absence or density of target species through ground-level observations (e.g. line transects, camera traps, point counts)",,,,,,,,,,,,,,,,,,,,,,,,
,PCHBA,,,"Pre-calculated high Biodiversity Areas. Identified from previous work to be of high value for biodiversity. E.g. biodiversity hotspots or key biodiversity areas (e.g. Myers 2000 Biodiversity Hotspot, Key Biodiversity areas (Important Bird and Biodiversity Areas, Alliance for zero extinction sites, critical ecosystem partnership)",,,,,,,,,,,,,,,,,,,,,,,,
,Protected Area,,,"Any land or sea that is legislatively protected from some or any disturbance (e.g. IUCN PA categories 1a, 1b, 2, and 4, RAMSAR sites, and UNESCO Natural World heritage sites, Marine protected areas)",,,,,,,,,,,,,,,,,,,,,,,,
,Expert Judgement ,,,Expert elicitation methods were used to determine the spatial distribution of species within the study area,,,,,,,,,,,,,,,,,,,,,,,,
,Other ,,, Any other metric type used to determine the spatial distribution of species within the study area (e.g. social media),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2 Threat data &  5.2 Population data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quantitative ,,,"The measure for population and threat used for each spatial unit is a numeric value. E.g intensity, frequency, density ",,,,,,,,,,,,,,,,,,,,,,,,
,Qualitative ,,,The measure for population and threat used for each spatial unit does not have a numeric value. E.g categories or presence/absence,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.4 Taxanomic resolution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The lowest level of taxonomic hierachy that includes all species mapped as a single taxonomic unit,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 Taxonomic scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The lowest level of taxonomic hierachy that includes all species studied,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7 animal group & 5.8 plant group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"List the taxa included at minimum class level. If taxa included are from a single definable group, for which the reporting of class here would assume the inclusion of multiple other non-studied species, enter that group name here e.g. Seagrass. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
